x,y,z
-0.65123820305,17.70167923,-4.7066426277
-1.1187747717,17.289596558,-4.9048490524
-1.5873352289,16.863887787,-5.0194392204
-2.0514280796,16.43362236,-5.0719628334
-2.5056405067,16.007778168,-5.0840616226
-2.9448947906,15.59497261,-5.0775637627
-3.3647868633,15.202967644,-5.0743618011
-3.7622313499,14.837879181,-5.0958013535
-4.1359066963,14.503118515,-5.1613068581
-4.486720562,14.198496819,-5.2862653732
-4.8177013397,13.919522285,-5.4795804024
-5.1333436966,13.657627106,-5.7421174049
-5.4383807182,13.401017189,-6.0664319992
-5.7363739014,13.136407852,-6.4385151863
-6.0281500816,12.851348877,-6.8410096169
-6.3108577728,12.536421776,-7.2566795349
-6.5775899887,12.186792374,-7.6713080406
-6.817841053,11.802991867,-8.0754051208
-7.018558979,11.390529633,-8.4645528793
-7.165702343,10.95891571,-8.8390207291
-7.245865345,10.520039558,-9.2027769089
-7.2480306625,10.086298943,-9.562163353
-7.165201664,9.6685676575,-9.9243154526
-6.9958014488,9.2742900848,-10.295069695
-6.7446193695,8.9061403275,-10.676999092
-6.4227485657,8.561829567,-11.067352295
-6.0468139648,8.2348480225,-11.456708908
-5.6371393204,7.9164404869,-11.828499794
-5.2156219482,7.5980520248,-12.159996033
-4.8035936356,7.2737383842,-12.424744606
-4.4199028015,6.9422802925,-12.596416473
-4.0797810555,6.6077303886,-12.653392792
-3.7940502167,6.2797937393,-12.582925797
-3.5690271854,5.972076416,-12.384008408
-3.4068515301,5.6998662949,-12.067625999
-3.3060092926,5.4774603844,-11.654676437
-3.2617561817,5.3152341843,-11.171918869
-3.2663431168,5.2177128792,-10.64713192
-3.3092982769,5.1822977066,-10.104798317
-3.3781816959,5.199441433,-9.5629873276
-3.4600453377,5.2536797523,-9.0318450928
-3.5432114601,5.3252415657,-8.5139436722
-3.6188585758,5.3931655884,-8.0058250427
-3.6816546917,5.4376649857,-7.5006680489
-3.7297623158,5.4429860115,-6.9910001755
-3.764333725,5.3982291222,-6.4711546898
-3.7888178825,5.2976527214,-5.9390935898
-3.8081564903,5.1397047043,-5.3970122337
-3.8278169632,4.9267158508,-4.8511610031
-3.8529689312,4.6632089615,-4.3109788895
-3.8877570629,4.3549146652,-3.7878556252
-3.9350466728,4.0074830055,-3.2937984467
-3.996203661,3.6253561974,-2.8400554657
-4.0712170601,3.2112593651,-2.4355881214
-4.158780098,2.7666773796,-2.0856776237
-4.256146431,2.2928287983,-1.790694356
-4.3593044281,1.7910867929,-1.5456339121
-4.4630236626,1.2645744085,-1.340798974
-4.5613603592,0.71755307913,-1.1632410288
-4.6480107307,0.15549641848,-0.99913990498
-4.7169122696,-0.41573476791,-0.83606129885
-4.7623238564,-0.99051940441,-0.66471320391
