x,y,z
-3.5727806091,15.843770981,-5.5765604973
-3.9559364319,15.676923752,-5.2164530754
-4.331548214,15.424224854,-4.9751815796
-4.7045359612,15.101752281,-4.8280653954
-5.079636097,14.725729942,-4.7505321503
-5.4608664513,14.312709808,-4.718524456
-5.8505954742,13.879840851,-4.7095146179
-6.2482991219,13.44472599,-4.7042899132
-6.6492705345,13.025043488,-4.6892724037
-7.0440602303,12.637536049,-4.6586756706
-7.4192509651,12.296499252,-4.6155638695
-7.7596750259,12.01199913,-4.5712461472
-8.0516910553,11.787857056,-4.5431466103
-8.2864894867,11.620289803,-4.5514068604
-8.4625024796,11.497476578,-4.6149554253
-8.5857639313,11.400904655,-4.7480721474
-8.6677303314,11.308569908,-4.9578323364
-8.721446991,11.199221611,-5.2430362701
-8.7574872971,11.056097031,-5.5948786736
-8.780875206,10.869321823,-5.9985332489
-8.7903308868,10.636169434,-6.4352550507
-8.7798519135,10.359250069,-6.8851704597
-8.7414331436,10.04414463,-7.3299307823
-8.6679143906,9.6972084045,-7.7549557686
-8.5549383163,9.3241949081,-8.1510276794
-8.4016704559,8.9297571182,-8.5149354935
-8.2102527618,8.5173740387,-8.8488206863
-7.9846487045,8.0895738602,-9.1584634781
-7.729449749,7.6482319832,-9.4509239197
-7.4490628242,7.19510746,-9.7319355011
-7.1476416588,6.7325353622,-10.003829956
-6.8296303749,6.2641868591,-10.264012337
-6.5006761551,5.7958073616,-10.504737854
-6.1684341431,5.3358917236,-10.713526726
-5.8427658081,4.8956284523,-10.874747276
-5.5350661278,4.4881420135,-10.971702576
-5.2568907738,4.1271476746,-10.98905468
-5.0182118416,3.8247220516,-10.915151596
-4.8260879517,3.5887129307,-10.7438097
-4.6840167046,3.4201996326,-10.4754076
-4.5924973488,3.3128414154,-10.116816521
-4.5503296852,3.2536466122,-9.6804943085
-4.5558171272,3.2246177197,-9.1833581924
-4.6070413589,3.2063336372,-8.6450281143
-4.7008776665,3.179889679,-8.0857982635
-4.8310074806,3.1292488575,-7.5248327255
-4.9862208366,3.0418121815,-6.9785370827
-5.1500110626,2.9091997147,-6.4594731331
-5.3018951416,2.7271523476,-5.9756388664
-5.4204101562,2.4951896667,-5.5302119255
-5.4869713783,2.2171978951,-5.1217536926
-5.4895792007,1.9000097513,-4.7447624207
-5.4252176285,1.5531767607,-4.3907752037
-5.300219059,1.1867456436,-4.0501327515
-5.1291332245,0.80943733454,-3.7141764164
-4.9319114685,0.42632633448,-3.3773772717
-4.7302627563,0.038645759225,-3.0385160446
-4.5438227654,-0.35651454329,-2.700576067
-4.3869009018,-0.76408666372,-2.3690521717
-4.2662849426,-1.188778162,-2.0495717525
-4.1802558899,-1.6326540709,-1.7454698086
-4.1194586754,-2.0940635204,-1.4563941956
-4.0688633919,-2.5672047138,-1.1781880856
