x,y,z
-5.8065032959,17.390522003,-6.8120989799
-6.2522063255,17.350893021,-7.4793891907
-6.6070356369,17.075084686,-7.9310336113
-6.8947153091,16.615510941,-8.1978683472
-7.1385207176,16.024047852,-8.3109140396
-7.3603639603,15.350798607,-8.3016548157
-7.5792460442,14.64203167,-8.2025604248
-7.8094849586,13.937803268,-8.0476636887
-8.059170723,13.26954937,-7.8729400635
-8.3293943405,12.658490181,-7.7157454491
-8.6142749786,12.114917755,-7.6127791405
-8.902100563,11.638792038,-7.5964503288
-9.1773376465,11.221615791,-7.6903557777
-9.4228305817,10.849597931,-7.9057593346
-9.6218967438,10.507047653,-8.2406024933
-9.7599048615,10.179552078,-8.6809644699
-9.8255386353,9.8556928635,-9.2047452927
-9.8118715286,9.5269651413,-9.7865095139
-9.7171163559,9.1865215302,-10.401522636
-9.5447044373,8.8275108337,-11.028312683
-9.3026313782,8.442407608,-11.649310112
-9.0023126602,8.0235395432,-12.250071526
-8.6573400497,7.5650191307,-12.817274094
-8.2825260162,7.0652971268,-13.336384773
-7.8934721947,6.529446125,-13.789793015
-7.5062747002,5.9713096619,-14.156157494
-7.1371564865,5.4131236076,-14.41195488
-6.8015093803,4.8851470947,-14.534958839
-6.5122990608,4.422618866,-14.509158134
-6.2782030106,4.0613460541,-14.329722404
-6.1023044586,3.8320684433,-14.006055832
-5.9818592072,3.7547719479,-13.561748505
-5.9090456963,3.83385396,-13.031364441
-5.8725209236,4.0552110672,-12.45434761
-5.8593664169,4.3870363235,-11.868097305
-5.8573117256,4.7841572762,-11.301978111
-5.8568396568,5.1958236694,-10.773693085
-5.8526010513,5.5751442909,-10.288496017
-5.8436970711,5.8888840675,-9.8407249451
-5.832631588,6.1234102249,-9.4169387817
-5.8233151436,6.2861027718,-8.9994745255
-5.8189964294,6.4005074501,-8.5695705414
-5.8210134506,6.4971308708,-8.1102981567
-5.8288645744,6.6017451286,-7.6092309952
-5.8412356377,6.726855278,-7.0608153343
-5.8570623398,6.8669834137,-6.4681324959
-5.8759331703,6.9999508858,-5.843688488
-5.897629261,7.0924053192,-5.2083072662
-5.9210910797,7.1077156067,-4.5883717537
-5.9434437752,7.0136084557,-4.0117731094
-5.9597620964,6.788567543,-3.5031163692
-5.9638190269,6.425593853,-3.0792925358
-5.9495325089,5.9335203171,-2.7465977669
-5.912627697,5.3343462944,-2.4997293949
-5.8519482613,4.6584377289,-2.3230726719
-5.7699847221,3.9382374287,-2.1933424473
-5.6722960472,3.20373106,-2.083407402
-5.5657458305,2.4784343243,-1.9666677713
-5.4560217857,1.7771676779,-1.8213294744
-5.3453478813,1.1069432497,-1.6338526011
