x,y,z
-2.2069022655,20.482099533,-4.6128611565
-2.5969588757,20.254312515,-4.2542681694
-2.9394841194,19.918544769,-4.0380330086
-3.2471761703,19.500247955,-3.935041666
-3.5326220989,19.024845123,-3.9166138172
-3.8079144955,18.517457962,-3.9555852413
-4.0838961601,18.002128601,-4.0284399986
-4.3691210747,17.500432968,-4.1180090904
-4.6688199043,17.029729843,-4.21575737
-4.9841609001,16.601396561,-4.3225336075
-5.312277317,16.219558716,-4.4471697807
-5.6470980644,15.88062191,-4.6030097008
-5.9807925224,15.574165344,-4.8032541275
-6.3055024147,15.285191536,-5.0567445755
-6.6148715019,14.997514725,-5.3656225204
-6.9045701027,14.697039604,-5.7252693176
-7.1718916893,14.374375343,-6.1260619164
-7.4142923355,14.025932312,-6.5560765266
-7.6279916763,13.653507233,-7.0034604073
-7.806968689,13.262794495,-7.4580936432
-7.9428420067,12.861297607,-7.9121894836
-8.0256900787,12.456293106,-8.360250473
-8.0454864502,12.053442955,-8.7989206314
-7.9939403534,11.656131744,-9.2266721725
-7.866004467,11.26529789,-9.643280983
-7.660984993,10.879753113,-10.049059868
-7.3828582764,10.496851921,-10.44361496
-7.0397257805,10.113509178,-10.824349403
-6.6428699493,9.7270517349,-11.185018539
-6.2056617737,9.3369941711,-11.514705658
-5.7428040504,8.9450035095,-11.797827721
-5.2699918747,8.5557546616,-12.015435219
-4.8039226532,8.1766424179,-12.147794724
-4.3624076843,7.8164234161,-12.178133011
-3.9642364979,7.4839148521,-12.096546173
-3.6284735203,7.1856770515,-11.902916908
-3.3730280399,6.9248242378,-11.607674599
-3.2124347687,6.698776722,-11.23039341
-3.1551170349,6.4997520447,-10.796257019
-3.2008857727,6.315158844,-10.331370354
-3.339227438,6.1302576065,-9.858332634
-3.5496723652,5.9302091599,-9.3934593201
-3.8043580055,5.7031741142,-8.9457006454
-4.0723133087,5.4405174255,-8.5174732208
-4.3251152039,5.1373591423,-8.1069288254
-4.5418901443,4.7922801971,-7.7105722427
-4.7123680115,4.4059610367,-7.3251891136
-4.8372664452,3.9813830853,-6.9487261772
-4.9260549545,3.5231823921,-6.5801753998
-4.9929618835,3.0370545387,-6.2190937996
-5.0522909164,2.5298051834,-5.8650770187
-5.1144909859,2.0083732605,-5.5175433159
-5.1837940216,1.4790490866,-5.1758236885
-5.2575082779,0.94711607695,-4.8395180702
-5.3271284103,0.41637471318,-4.5088281631
-5.3803343773,-0.11103136837,-4.1847438812
-5.4039888382,-0.63462424278,-3.8689701557
-5.3868536949,-1.1551058292,-3.5635402203
-5.3219704628,-1.6744301319,-3.2701938152
-5.2077679634,-2.194671154,-2.9897327423
-5.0479073524,-2.7179698944,-2.7213933468
