x,y,z
-5.7705259323,17.928163528,-3.7499535084
-5.9758358002,17.488428116,-3.9687507153
-6.2585968971,17.112646103,-4.1440901756
-6.6013126373,16.790258408,-4.289689064
-6.9865527153,16.510749817,-4.4192080498
-7.3971719742,16.263776779,-4.5460968018
-7.8166899681,16.039415359,-4.6832609177
-8.2298316956,15.828544617,-4.8424668312
-8.6232309341,15.623295784,-5.033551693
-8.9859476089,15.417416573,-5.2636113167
-9.3097486496,15.206543922,-5.5363636017
-9.5890827179,14.988404274,-5.8518915176
-9.8207101822,14.762988091,-6.2068862915
-10.002990723,14.532719612,-6.5954251289
-10.135168076,14.302411079,-7.0101113319
-10.21677494,14.078780174,-7.4431657791
-10.24727726,13.869525909,-7.887304306
-10.226037025,13.682016373,-8.336315155
-10.152614594,13.52165699,-8.7853631973
-10.02723217,13.390597343,-9.2310037613
-9.8513441086,13.286969185,-9.6710977554
-9.6281166077,13.204779625,-10.104578018
-9.3627223969,13.134407997,-10.531047821
-9.0624399185,13.063531876,-10.950186729
-8.7364234924,12.978458405,-11.360948563
-8.3951501846,12.865568161,-11.760696411
-8.0498018265,12.712788582,-12.144443512
-7.7115616798,12.510980606,-12.50439167
-7.3908987045,12.255149841,-12.829912186
-7.0969400406,11.945318222,-13.10803318
-6.8370165825,11.586821556,-13.324627876
-6.6163020134,11.18999958,-13.465950012
-6.4375834465,10.769350052,-13.520382881
-6.3011727333,10.34221077,-13.480132103
-6.2049231529,9.9270467758,-13.342603683
-6.1444430351,9.5414857864,-13.111071587
-6.1135334969,9.2005634308,-12.794400215
-6.1047768593,8.9151906967,-12.406029701
-6.110247612,8.6909990311,-11.962473869
-6.1222681999,8.5276222229,-11.481584549
-6.1341357231,8.4184093475,-10.980712891
-6.1406669617,8.3509702682,-10.475275993
-6.1385250092,8.3083524704,-9.9777202606
-6.1263203621,8.2709283829,-9.4969005585
-6.1044836044,8.2188892365,-9.0378742218
-6.0749182701,8.1350421906,-8.6020107269
-6.0404067039,8.0071668625,-8.1875476837
-6.0038962364,7.8293046951,-7.7904310226
-5.9677996635,7.6017980576,-7.4053359032
-5.9334387779,7.330265522,-7.0267453194
-5.9007530212,7.02384758,-6.6499385834
-5.8684005737,6.6928653717,-6.2717413902
-5.8342413902,6.3467564583,-5.8908233643
-5.7960047722,5.9929599762,-5.5076050758
-5.7519879341,5.6362509727,-5.1239051819
-5.7016191483,5.2784399986,-4.7424507141
-5.6457324028,4.9189271927,-4.3663554192
-5.5863890648,4.5553760529,-3.9987952709
-5.5263366699,4.1845426559,-3.6428718567
-5.4682440758,3.8030576706,-3.30164361
-5.4138464928,3.4079558849,-2.9782578945
-5.3631615639,2.9969785213,-2.6760599613
-5.3140044212,2.569237709,-2.3985261917
-5.261967659,2.1253271103,-2.1489620209
-5.2008337975,1.6673134565,-1.9299231768
