x,y,z
-0.77078419924,22.642854691,-4.709936142
-0.97060614824,22.063850403,-4.392701149
-1.2352089882,21.539649963,-4.133108139
-1.5590085983,21.059566498,-3.9202780724
-1.9363111258,20.612922668,-3.743282795
-2.3611214161,20.189212799,-3.5911078453
-2.8267431259,19.778373718,-3.4527111053
-3.3253538609,19.37159729,-3.3172867298
-3.8475651741,18.962495804,-3.1750149727
-4.3821840286,18.548460007,-3.0183279514
-4.916185379,18.131921768,-2.8437240124
-5.435087204,17.720823288,-2.6537899971
-5.9237251282,17.327932358,-2.4588632584
-6.3674740791,16.968765259,-2.277438879
-6.7538609505,16.658258438,-2.1346321106
-7.0743117332,16.406803131,-2.0585610867
-7.3257350922,16.2166996,-2.0753061771
-7.5115418434,16.079973221,-2.2034242153
-7.6408557892,15.979333878,-2.4509031773
-7.7265558243,15.891564369,-2.8138091564
-7.7825393677,15.791879654,-3.2765629292
-7.8202352524,15.659304619,-3.8155670166
-7.845934391,15.480273247,-4.4035205841
-7.8597393036,15.249836922,-5.013422966
-7.8560128212,14.970513344,-5.6216821671
-7.8253026009,14.649699211,-6.2099165916
-7.7569651604,14.296629906,-6.765583992
-7.6420235634,13.919808388,-7.2817015648
-7.475605011,13.525462151,-7.7560710907
-7.2585659027,13.117097855,-8.1900720596
-6.9978985786,12.69586277,-8.5872612
-6.7060842514,12.261336327,-8.9516649246
-6.3995714188,11.812447548,-9.2859811783
-6.096654892,11.347583771,-9.589758873
-5.8152132034,10.86524868,-9.8582105637
-5.5703082085,10.364004135,-10.082095146
-5.3723020554,9.8430862427,-10.249051094
-5.2255740166,9.3032474518,-10.346131325
-5.1282057762,8.7477817535,-10.362894058
-5.0728492737,8.1832494736,-10.29349041
-5.048555851,7.6196231842,-10.137453079
-5.043179512,7.0697860718,-9.8990259171
-5.0461783409,6.5472912788,-9.585606575
-5.0509619713,6.0640716553,-9.2063293457
-5.0562205315,5.6284227371,-8.7713632584
-5.0656852722,5.242067337,-8.2918138504
-5.0861654282,4.8999390602,-7.7799978256
-5.1242890358,4.5902380943,-7.249396801
-5.1829791069,4.2968854904,-6.7143340111
-5.2589664459,4.0018043518,-6.1891760826
-5.3424172401,3.6877918243,-5.6874318123
-5.4187884331,3.3404781818,-5.2209177017
-5.4725346565,2.9496588707,-4.7990393639
-5.4910035133,2.5103731155,-4.428314209
-5.4673976898,2.0219802856,-4.1118988991
-5.4014821053,1.4886710644,-3.849159956
-5.2983198166,0.91807627678,-3.6353335381
-5.1655135155,0.32079091668,-3.4615175724
-5.0103812218,-0.29151523113,-3.3152098656
-4.8379850388,-0.90628886223,-3.1815826893
-4.650621891,-1.5125243664,-3.0453152657
-4.4485740662,-2.1019108295,-2.8927981853
-4.2318286896,-2.6699573994,-2.714086771
-4.0017876625,-3.2167475224,-2.5043215752
-3.7624084949,-3.7462203503,-2.2640907764
