x,y,z
-3.9000108242,15.641942978,-11.357467651
-4.0640320778,15.011633873,-11.667437553
-4.2941374779,14.437796593,-11.767451286
-4.5783090591,13.910214424,-11.694073677
-4.9043054581,13.41868782,-11.484231949
-5.2592806816,12.953152657,-11.175713539
-5.6292133331,12.50407505,-10.807572365
-5.9983921051,12.063081741,-10.419896126
-6.3493170738,11.62393856,-10.052581787
-6.6631774902,11.183315277,-9.743139267
-6.9212236404,10.741080284,-9.5237827301
-7.1067619324,10.299884796,-9.4183626175
-7.2075271606,9.8638553619,-9.4396276474
-7.2175655365,9.4367198944,-9.5881462097
-7.1381912231,9.0198326111,-9.8523788452
-6.9779448509,8.6106243134,-10.210536003
-6.7512741089,8.2024154663,-10.63376236
-6.4769129753,7.7856407166,-11.089701653
-6.1762199402,7.3504662514,-11.545877457
-5.871609211,6.8898525238,-11.972234726
-5.5853934288,6.4022359848,-12.342643738
-5.3387799263,5.8929877281,-12.635607719
-5.1508393288,5.3741116524,-12.834514618
-5.0373930931,4.8627943993,-12.928170204
-5.0097060204,4.3785734177,-12.911716461
-5.0733656883,3.941218853,-12.787449837
-5.2272796631,3.5671927929,-12.565092087
-5.4631872177,3.2686610222,-12.260621071
-5.7657337189,3.0520370007,-11.893834114
-6.1134781837,2.9185006618,-11.485312462
-6.4809670448,2.8643846512,-11.053657532
-6.8420009613,2.883351326,-10.61362648
-7.1733908653,2.9684460163,-10.175221443
-7.4585499763,3.1135747433,-9.7436466217
-7.6895294189,3.3141429424,-9.3199987411
-7.8671197891,3.5657286644,-8.901930809
-7.9987726212,3.861260891,-8.484541893
-8.0950956345,4.1887631416,-8.0613203049
-8.1663312912,4.5301370621,-7.6254525185
-8.2199583054,4.8610596657,-7.1715245247
-8.2596349716,5.1539831161,-6.6971850395
-8.2851076126,5.3820214272,-6.204477787
-8.2924880981,5.5226426125,-5.7002248764
-8.274939537,5.5609207153,-5.1953601837
-8.223651886,5.4902472496,-4.7031698227
-8.1296138763,5.3132147789,-4.2370529175
-7.9862279892,5.0396051407,-3.8078246117
-7.7917928696,4.6845088005,-3.421652317
-7.5510802269,4.2652454376,-3.0790541172
-7.2751836777,3.799464941,-2.775257349
-6.9795336723,3.3024823666,-2.5018751621
-6.6807818413,2.7865703106,-2.2492516041
-6.3936424255,2.2596564293,-2.0087604523
-6.1285262108,1.7260725498,-1.7743581533
-5.8905816078,1.1866322756,-1.543172121
-5.6801743507,0.63968402147,-1.3151524067
-5.4944663048,0.081832900643,-1.0917344093
-5.3291273117,-0.49065938592,-0.87440776825
-5.1797623634,-1.0809426308,-0.66387063265
