x,y,z
-0.34716644883,17.589363098,-4.4500656128
-0.4851411581,17.029712677,-4.3225073814
-0.65070092678,16.470911026,-4.2058429718
-0.84622973204,15.918189049,-4.1026101112
-1.0739258528,15.376708984,-4.0153141022
-1.3354256153,14.851359367,-3.9463746548
-1.6311826706,14.346421242,-3.8980844021
-1.9597209692,13.86509037,-3.8726224899
-2.3169972897,13.408991814,-3.8721861839
-2.6960370541,12.977697372,-3.8991811275
-3.0870826244,12.568612099,-3.9563469887
-3.4783110619,12.177137375,-4.0466861725
-3.8570253849,11.797499657,-4.173148632
-4.2113246918,11.424012184,-4.3381605148
-4.5316572189,11.052749634,-4.5431380272
-4.8118214607,10.682825089,-4.7881860733
-5.048825264,10.316872597,-5.0720529556
-5.2418069839,9.9605207443,-5.3923249245
-5.3904185295,9.6209573746,-5.7457809448
-5.4938316345,9.3052377701,-6.1287193298
-5.5507411957,9.0188913345,-6.5371003151
-5.5603723526,8.7650356293,-6.9665074348
-5.5235280991,8.5441970825,-7.4118318558
-5.4428057671,8.3542375565,-7.8669490814
-5.3216238022,8.1901216507,-8.3243360519
-5.1627645493,8.0437374115,-8.7752838135
-4.9672517776,7.903670311,-9.2104492188
-4.7344784737,7.7555165291,-9.6210689545
-4.4634752274,7.5830221176,-10.00023365
-4.1545233727,7.3704853058,-10.343662262
-3.8106732368,7.1059088707,-10.649708748
-3.4383385181,6.7843947411,-10.918225288
-3.0473232269,6.4105763435,-11.148649216
-2.6503264904,5.9991130829,-11.337903976
-2.2620029449,5.5733556747,-11.47898674
-1.897761941,5.1617407799,-11.560757637
-1.5723110437,4.7937765121,-11.569391251
-1.2981404066,4.4946537018,-11.491128922
-1.0841847658,4.2814064026,-11.315572739
-0.93506842852,4.159725666,-11.03851223
-0.85111713409,4.1241831779,-10.66339016
-0.82902896404,4.1591849327,-10.201335907
-0.86313122511,4.2427453995,-9.6697502136
-0.94682562351,4.3508996964,-9.089972496
-1.0736969709,4.4618844986,-8.4847335815
-1.237981081,4.5585513115,-7.875931263
-1.4343796968,4.6293678284,-7.2827143669
-1.657350421,4.6680388451,-6.7201251984
-1.9002444744,4.672647953,-6.1982321739
-2.1546108723,4.6439070702,-5.7216095924
-2.410091877,4.5838737488,-5.2894163132
-2.6549947262,4.4945025444,-4.8956727982
-2.8776314259,4.3764824867,-4.5301761627
-3.0680809021,4.2291593552,-4.1798405647
-3.2200777531,4.0516834259,-3.8305912018
-3.3321769238,3.8435459137,-3.4693598747
-3.4075171947,3.6071124077,-3.0858910084
-3.4523718357,3.3469200134,-2.6742370129
-3.473511219,3.0693500042,-2.233407259
-3.4754974842,2.7805662155,-1.7673978806
-3.4592506886,2.4844677448,-1.2846137285
-3.422359705,2.1814086437,-0.79684996605
-3.3610067368,1.8682732582,-0.31784877181
-3.2725348473,1.5387744904,0.13835687935
-3.1577055454,1.1851257086,0.55912441015
-3.0217385292,0.80037790537,0.93476134539
-2.8738002777,0.37929496169,1.2594746351
-2.7254357338,-0.080344758928,1.531793952
-2.5882189274,-0.57723331451,1.7544611692
-2.4714093208,-1.1070562601,1.9337534904
-2.3803219795,-1.6631346941,2.0785925388
-2.3154902458,-2.237606287,2.1993792057
-2.2728700638,-2.8221876621,2.3068876266
-2.2447493076,-3.4094433784,2.4112267494
-2.2210590839,-3.9932038784,2.5211558342
