x,y,z
-1.4962543249,15.256464005,-6.1505093575
-1.8478785753,14.912085533,-5.7882628441
-2.1947033405,14.501820564,-5.4517889023
-2.5345623493,14.04297924,-5.1446027756
-2.8653059006,13.552940369,-4.8701677322
-3.1847465038,13.049237251,-4.6317706108
-3.4905557632,12.549489975,-4.4323611259
-3.780122757,12.070947647,-4.274166584
-4.0504794121,11.629639626,-4.1585855484
-4.2984991074,11.238938332,-4.0865988731
-4.5215287209,10.907969475,-4.0601530075
-4.7184610367,10.63984108,-4.084130764
-4.8907437325,10.430470467,-4.1673636436
-5.0429759026,10.268703461,-4.3211874962
-5.1827106476,10.137174606,-4.5553245544
-5.3193235397,10.014194489,-4.8731307983
-5.4619483948,9.8764600754,-5.2676715851
-5.6172528267,9.7019901276,-5.7209191322
-5.7875099182,9.4734392166,-6.2064790726
-5.9695000648,9.1809539795,-6.6947016716
-6.1542024612,8.8242635727,-7.1586546898
-6.3272328377,8.4132080078,-7.5796494484
-6.4705314636,7.9663028717,-7.9507908821
-6.5649929047,7.5074505806,-8.2778511047
-6.5940208435,7.061478138,-8.5773305893
-6.5470995903,6.6492414474,-8.8722715378
-6.4220647812,6.2835974693,-9.1869287491
-6.2251191139,5.9675154686,-9.5417642593
-5.9688816071,5.6939053535,-9.9493665695
-5.6686148643,5.448094368,-10.411986351
-5.3381876945,5.2119245529,-10.920909882
-4.98741436,4.967854023,-11.457098961
-4.6214489937,4.7031726837,-11.992902756
-4.2423782349,4.41177845,-12.494622231
-3.8522386551,4.0953726768,-12.925923347
-3.4560208321,3.7620518208,-13.251753807
-3.0637655258,3.4256353378,-13.442795753
-2.6910037994,3.1028585434,-13.479867935
-2.357460022,2.8112950325,-13.357426643
-2.0845038891,2.5671989918,-13.084412575
-1.8918782473,2.3832705021,-12.683133125
-1.7942743301,2.2665820122,-12.185450554
-1.7984284163,2.2175676823,-11.627008438
-1.9012817144,2.2290194035,-11.041273117
-2.0898394585,2.2872982025,-10.454821587
-2.3430857658,2.373636961,-9.8847150803
-2.63535285,2.4667322636,-9.3381061554
-2.9406175613,2.545425415,-8.8136930466
-3.2365562916,2.5912256241,-8.3046274185
-3.5072202682,2.5898995399,-7.8017868996
-3.7441136837,2.532848835,-7.2969751358
-3.9460835457,2.4178864956,-6.7852659225
-4.117764473,2.2479133606,-6.266479969
-4.2674612999,2.0288562775,-5.745513916
-4.4045338631,1.766677022,-5.2318248749
-4.5367970467,1.4643021822,-4.7381644249
-4.6682915688,1.1208101511,-4.2785935402
-4.7981777191,0.73190933466,-3.8660614491
-4.9207763672,0.29218736291,-3.5098876953
-5.0266489983,-0.20107251406,-3.2136929035
-5.1043429375,-0.74575442076,-2.9743208885
-5.1423549652,-1.3332002163,-2.7818074226
-5.131111145,-1.9483318329,-2.6203937531
-5.0648779869,-2.5713157654,-2.4701647758
