x,y,z
-1.5982607603,20.006658554,-5.1514401436
-1.9009466171,19.707000732,-4.5494875908
-2.2758204937,19.349744797,-4.0302243233
-2.7056519985,18.944187164,-3.5940935612
-3.1732678413,18.499622345,-3.241528511
-3.6617064476,18.025270462,-2.97295928
-4.154613018,17.530128479,-2.7888474464
-4.6369018555,17.022699356,-2.6896793842
-5.0956172943,16.510614395,-2.6758034229
-5.5209140778,16.000244141,-2.7470426559
-5.9069633484,15.496380806,-2.9021289349
-6.2523050308,15.001978874,-3.1381423473
-6.5598840714,14.518210411,-3.4500906467
-6.8360733986,14.044817924,-3.8307468891
-7.0891222954,13.580853462,-4.2709264755
-7.3271946907,13.125689507,-4.7600679398
-7.5563359261,12.68007946,-5.2869982719
-7.7788825035,12.246953011,-5.8407592773
-7.9923815727,11.83154583,-6.4112172127
-8.1891765594,11.440690994,-6.9894828796
-8.3569536209,11.081400871,-7.567984581
-8.4801263809,10.758972168,-8.140499115
-8.5420274734,10.474985123,-8.702038765
-8.5275611877,10.225791931,-9.2487678528
-8.4258737564,10.001943588,-9.7779064178
-8.2325716019,9.7889251709,-10.287620544
-7.9511547089,9.5692100525,-10.776909828
-7.5934662819,9.3249788284,-11.245207787
-7.1787877083,9.041138649,-11.691632271
-6.7319293022,8.7079267502,-12.11383152
-6.2806158066,8.3219432831,-12.50669384
-5.8525524139,7.8865456581,-12.861368179
-5.472591877,7.4110336304,-13.165058136
-5.1605143547,6.9093775749,-13.40189743
-4.9298210144,6.398876667,-13.554982185
-4.7876467705,5.8975696564,-13.609238625
-4.7358131409,5.4233093262,-13.554592133
-4.7723455429,4.9916796684,-13.388502121
-4.8929781914,4.6154069901,-13.116707802
-5.0919528008,4.3041114807,-12.752537727
-5.3620300293,4.0644330978,-12.31462574
-5.6940617561,3.9006855488,-11.823723793
-6.0766158104,3.8154408932,-11.299574852
-6.4960346222,3.8096399307,-10.758451462
-6.9370903969,3.882484436,-10.211857796
-7.3840255737,4.0305304527,-9.6660232544
-7.8216071129,4.2470159531,-9.1222724915
-8.2357492447,4.5214748383,-8.5780286789
-8.613817215,4.839173317,-8.0282230377
-8.9445524216,5.1817960739,-7.4668774605
-9.2178688049,5.5287437439,-6.8887724876
-9.42486763,5.8581261635,-6.2910261154
-9.5581464767,6.1487088203,-5.6742100716
-9.6125707626,6.3811035156,-5.0429382324
-9.5861473083,6.5386662483,-4.4056544304
-9.4808959961,6.6079392433,-3.7738296986
-9.3032531738,6.579164505,-3.16076684
-9.0638170242,6.4467134476,-2.5801997185
-8.7764911652,6.2093977928,-2.0450913906
-8.4570665359,5.8706998825,-1.5668820143
-8.1214847565,5.4387083054,-1.1550949812
-7.7842288017,4.9254870415,-0.8172236681
-7.4570531845,4.3453874588,-0.55866998434
-7.1482906342,3.7138557434,-0.3826943934
-6.86251688,3.0460715294,-0.28995811939
-6.6006903648,2.3555943966,-0.27790024877
-6.3605246544,1.6538901329,-0.34008944035
-6.1369504929,0.9503917098,-0.46569412947
-5.9226408005,0.25269514322,-0.63935875893
