x,y,z
-0.54956048727,16.551218033,-7.17243433
-0.95525223017,16.050041199,-7.3785133362
-1.3413825035,15.560166359,-7.434047699
-1.7155282497,15.082826614,-7.3623561859
-2.0851657391,14.619235992,-7.1870098114
-2.4574241638,14.17054081,-6.9321975708
-2.8385968208,13.73779583,-6.6230931282
-3.2332861423,13.32177639,-6.2859683037
-3.6434729099,12.92281723,-5.9479522705
-4.0676298141,12.540433884,-5.6362299919
-4.500243187,12.17297554,-5.3769049644
-4.9320430756,11.817318916,-5.1933164597
-5.3511896133,11.468922615,-5.1041135788
-5.7451853752,11.122385025,-5.1213779449
-6.1030025482,10.772433281,-5.2492566109
-6.4168195724,10.415367126,-5.4834685326
-6.6825861931,10.05048275,-5.812400341
-6.8994979858,9.681178093,-6.2192296982
-7.0683441162,9.3149528503,-6.6848678589
-7.1894888878,8.9620370865,-7.1907143593
-7.2613983154,8.6325759888,-7.7205295563
-7.2801494598,8.3335285187,-8.2612714767
-7.2402973175,8.0659132004,-8.8030719757
-7.136660099,7.8235621452,-9.338757515
-6.966506958,7.5936217308,-9.8631353378
-6.731511116,7.3588266373,-10.372094154
-6.4388108253,7.1011009216,-10.861474037
-6.1009216309,6.8053998947,-11.325532913
-5.7345948219,6.4628238678,-11.755345345
-5.3589758873,6.0727901459,-12.137433052
-4.9934797287,5.6432819366,-12.453438759
-4.6560111046,5.1901321411,-12.681443214
-4.3616271019,4.7349081039,-12.799072266
-4.1218714714,4.3020720482,-12.788119316
-3.9446182251,3.9156343937,-12.639303207
-3.8343794346,3.5967020988,-12.355460167
-3.7925591469,3.3611924648,-11.952479362
-3.817492485,3.2188098431,-11.457784653
-3.9042496681,3.1728260517,-10.906128883
-4.0443940163,3.2208580971,-10.33404541
-4.2259249687,3.3560593128,-9.7745065689
-4.4337902069,3.5674345493,-9.2525138855
-4.6510019302,3.8405795097,-8.7822294235
-4.8599171638,4.1573634148,-8.3661613464
-5.0433349609,4.4955205917,-7.9957761765
-5.1856455803,4.8293161392,-7.6538386345
-5.2742271423,5.1313362122,-7.3182930946
-5.3012313843,5.3752484322,-6.9668755531
-5.2647151947,5.5397577286,-6.5817756653
-5.1685647964,5.611328125,-6.1530351639
-5.0210933685,5.5856699944,-5.6801137924
-4.8327078819,5.4677033424,-5.1713824272
-4.6138572693,5.2691860199,-4.6420459747
-4.3740520477,5.0057764053,-4.1111049652
-4.1220741272,4.6929311752,-3.5981428623
-3.8667759895,4.3432664871,-3.1203944683
-3.6177697182,3.9644708633,-2.6903135777
-3.3854105473,3.5592355728,-2.3138039112
-3.1797652245,3.1268613338,-1.9893493652
-3.0089914799,2.6662552357,-1.7082394361
-2.8777563572,2.1780359745,-1.456105113
-2.7860512733,1.6658718586,-1.2154958248
-2.7289648056,1.1365799904,-0.96904182434
-2.6974697113,0.59857916832,-0.70255225897
-2.6798830032,0.060250241309,-0.40712743998
-2.6639454365,-0.47163394094,-0.080070339143
-2.6389715672,-0.99351507425,0.27557635307
-2.5976324081,-1.5052435398,0.65233170986
-2.5370476246,-2.0098180771,1.0401273966
-2.4589958191,-2.5126078129,1.4283548594
