x,y,z
-3.5837509632,18.199394226,-5.2381711006
-4.1282095909,17.886182785,-5.0117764473
-4.6045684814,17.525426865,-4.8510217667
-5.0183467865,17.121574402,-4.750679493
-5.3751792908,16.679122925,-4.7054572105
-5.6809520721,16.202697754,-4.7099547386
-5.9419021606,15.697086334,-4.7587070465
-6.1646347046,15.167222023,-4.8463864326
-6.3559260368,14.618183136,-4.9681315422
-6.5224237442,14.055286407,-5.1198630333
-6.6701073647,13.484326363,-5.2985062599
-6.8037338257,12.911970139,-5.502061367
-6.9259157181,12.346061707,-5.729598999
-7.0362772942,11.79583168,-5.981174469
-7.1307563782,11.271608353,-6.2575378418
-7.2016291618,10.784020424,-6.5596008301
-7.2382016182,10.342750549,-6.8877592087
-7.2285022736,9.9549894333,-7.2410888672
-7.1615557671,9.6241025925,-7.6169185638
-7.0297212601,9.3487186432,-8.0109548569
-6.8305997849,9.122625351,-8.417963028
-6.5680751801,8.9349479675,-8.8326826096
-6.252477169,8.7706127167,-9.2506380081
-5.8994889259,8.6110906601,-9.6681938171
-5.5283088684,8.4356899261,-10.081915855
-5.1592578888,8.2237472534,-10.487404823
-4.8112373352,7.9578084946,-10.877826691
-4.4997324944,7.6265616417,-11.242898941
-4.2356495857,7.2273368835,-11.568480492
-4.0250921249,6.7673282623,-11.837076187
-3.8701946735,6.263209343,-12.02966404
-3.7701416016,5.7395591736,-12.128471375
-3.7223806381,5.2258257866,-12.120295525
-3.7234275341,4.7531161308,-11.999114037
-3.7694113255,4.3502483368,-11.767418861
-3.8564054966,4.0408115387,-11.436096191
-3.9804158211,3.839204073,-11.022537231
-4.1373286247,3.7498273849,-10.547837257
-4.3225874901,3.7665045261,-10.033640862
-4.5308690071,3.8741340637,-9.4994802475
-4.7556333542,4.0520906448,-8.9607782364
-4.9887127876,4.2769174576,-8.4278211594
-5.2200136185,4.5260004997,-7.9056663513
-5.4375801086,4.7790989876,-7.3945989609
-5.6283407211,5.0192689896,-6.8914427757
-5.7794446945,5.23244524,-6.3911905289
-5.8799176216,5.4074640274,-5.8887405396
-5.9223656654,5.535636425,-5.3804636002
-5.9040570259,5.6111388206,-4.865240097
-5.827475071,5.6303443909,-4.3450078964
-5.6996331215,5.5915317535,-3.8246679306
-5.5306196213,5.4939870834,-3.3115677834
-5.3319454193,5.3375096321,-2.8147659302
-5.1148300171,5.1217050552,-2.3436653614
-4.8893780708,4.8467702866,-1.9065583944
-4.6641154289,4.5140519142,-1.5090383291
-4.4458918571,4.1269631386,-1.1530259848
-4.2397551537,3.6912682056,-0.83643752337
-4.0487656593,3.214766264,-0.55362534523
-3.8738634586,2.7071559429,-0.29653885961
-3.7139933109,2.1781330109,-0.056339781731
-3.5662286282,1.6372009516,0.17495404184
-3.4261310101,1.0918809175,0.40308055282
-3.2882845402,0.54789751768,0.6307721138
-3.1469078064,0.0083413822576,0.85766327381
-2.9966266155,-0.52562481165,1.0809549093
-2.8332710266,-1.0550074577,1.2965853214
-2.6546006203,-1.5816496611,1.5006588697
