x,y,z
-3.3141520023,14.797753334,-6.7388110161
-3.443400383,14.324571609,-6.7262444496
-3.6488375664,13.848678589,-6.6682214737
-3.9099347591,13.374362946,-6.5847334862
-4.206281662,12.905958176,-6.4960479736
-4.517870903,12.447932243,-6.4229664803
-4.8256006241,12.004737854,-6.3864936829
-5.1119971275,11.580393791,-6.4063577652
-5.3620438576,11.177678108,-6.4985389709
-5.5643439293,10.797167778,-6.6723594666
-5.7122583389,10.436285019,-6.9281606674
-5.8046979904,10.089016914,-7.2570037842
-5.8465538025,9.7465772629,-7.6422533989
-5.8482117653,9.398935318,-8.0629606247
-5.8237042427,9.0371694565,-8.4983625412
-5.7878036499,8.6556482315,-8.932015419
-5.7527308464,8.2535514832,-9.3546705246
-5.7254242897,7.8352789879,-9.7650241852
-5.7060117722,7.409514904,-10.168398857
-5.6876020432,6.9871792793,-10.57375145
-5.6574883461,6.5788288116,-10.989837646
-5.5991106033,6.1922302246,-11.421584129
-5.4947800636,5.830663681,-11.867378235
-5.3289470673,5.492410183,-12.318002701
-5.0915532112,5.1715035439,-12.756967545
-4.7811331749,4.8595628738,-13.162222862
-4.4066743851,4.5485496521,-13.508869171
-3.9876570702,4.2336392403,-13.772256851
-3.5522716045,3.9159538746,-13.93139267
-3.1337566376,3.604434967,-13.971999168
-2.7658827305,3.3152124882,-13.888898849
-2.4784479141,3.0695674419,-13.687102318
-2.2934429646,2.8900184631,-13.381192207
-2.2224998474,2.794822216,-12.992854118
-2.265948534,2.7934575081,-12.547023773
-2.4137294292,2.8836431503,-12.06781292
-2.6476151943,3.0510754585,-11.575058937
-2.9443595409,3.2713024616,-11.082356453
-3.279153347,3.5149230957,-10.596562386
-3.6287436485,3.7517211437,-10.11892128
-3.9736766815,3.9555988312,-9.646985054
-4.2995142937,4.1076169014,-9.1767721176
-4.5969991684,4.1973686218,-8.7046804428
-4.8614468575,4.2220492363,-8.2286043167
-5.0916056633,4.1846270561,-7.7484064102
-5.2884168625,4.0914034843,-7.2657785416
-5.4539408684,3.9493658543,-6.7838692665
-5.5907316208,3.764588356,-6.3070144653
-5.7017731667,3.5405483246,-5.8405652046
-5.7905216217,3.2779529095,-5.3905405998
-5.8608012199,2.9749929905,-4.9627022743
-5.9163160324,2.6296854019,-4.5611886978
-5.9600439072,2.2413175106,-4.1871972084
-5.9937047958,1.8121830225,-3.8384776115
-6.0175127983,1.3477663994,-3.5097620487
-6.0302886963,0.85567134619,-3.1942007542
-6.0296735764,0.34469914436,-2.8851957321
-6.012398243,-0.17707633972,-2.5779676437
-5.9744138718,-0.70268315077,-2.2704610825
-5.9109725952,-1.2265094519,-1.963283658
-5.8168520927,-1.7442253828,-1.6588727236
