x,y,z
-2.0846641064,15.65842247,-8.4016132355
-2.6866893768,15.388623238,-8.6077690125
-3.191996336,15.03799057,-8.6503705978
-3.6184823513,14.626660347,-8.563955307
-3.9840693474,14.174714088,-8.3832168579
-4.3065667152,13.701927185,-8.143122673
-4.6032509804,13.227169991,-7.8787369728
-4.8900718689,12.767207146,-7.6243958473
-5.180475235,12.335258484,-7.4120254517
-5.4840102196,11.93921566,-7.2685484886
-5.8051271439,11.580529213,-7.212975502
-6.1423201561,11.253732681,-7.2536392212
-6.4877328873,10.947319984,-7.3866047859
-6.8277001381,10.645991325,-7.5966434479
-7.1439175606,10.333895683,-7.8605155945
-7.4153132439,9.9979391098,-8.152141571
-7.6206607819,9.6302757263,-8.4482946396
-7.7414541245,9.2292299271,-8.733080864
-7.7649784088,8.7985057831,-9.0003461838
-7.6867413521,8.3450365067,-9.2533550262
-7.5119681358,7.8763852119,-9.5023651123
-7.2556695938,7.3987574577,-9.760892868
-6.9410052299,6.9162487984,-10.041307449
-6.5963873863,6.4313983917,-10.350715637
-6.2520003319,5.9467740059,-10.687713623
-5.9360775948,5.4670577049,-11.040628433
-5.6715979576,5.000746727,-11.38745594
-5.4736595154,4.5614104271,-11.698094368
-5.3479762077,4.1666407585,-11.93858242
-5.2904481888,3.8369240761,-12.076760292
-5.288233757,3.5921294689,-12.08850956
-5.3222608566,3.448236227,-11.962451935
-5.3705816269,3.4148728848,-11.701379776
-5.4120020866,3.4931573868,-11.321951866
-5.4291853905,3.6743421555,-10.851175308
-5.4109220505,3.9416797161,-10.320559502
-5.3531608582,4.2718372345,-9.7603416443
-5.2587227821,4.6376533508,-9.1949987411
-5.1359848976,5.0102458,-8.64087677
-4.9971222878,5.3619675636,-8.1058864594
-4.8563480377,5.6680965424,-7.5910806656
-4.7281765938,5.9089341164,-7.0932598114
-4.6259026527,6.0706086159,-6.6077446938
-4.5598740578,6.1454129219,-6.1309008598
-4.5356678963,6.1308069229,-5.661757946
-4.552072525,6.0280900002,-5.2029361725
-4.6003403664,5.8409438133,-4.7603516579
-4.6651906967,5.5744934082,-4.3420395851
-4.7275767326,5.2351155281,-3.9564318657
-4.768658638,4.8308706284,-3.6104316711
-4.7736344337,4.3716802597,-3.3076970577
-4.7345814705,3.8686349392,-3.0477056503
-4.6515250206,3.3333175182,-2.8255560398
-4.5316991806,2.7769560814,-2.6328914165
-4.3875365257,2.2091636658,-2.4593436718
-4.2337269783,1.6371856928,-2.2946150303
-4.0843372345,1.0655035973,-2.1302585602
-3.9505171776,0.49621105194,-1.9610915184
-3.8394007683,-0.071376815438,-1.7856781483
-3.7539284229,-0.63948941231,-1.6059103012
